TrxRowID,MeterNo,Amount
2427952,11612123,64000.0000
2427965,70400339,30000.0000
2427970,11711289,153000.0000
2427974,11673240,105000.0000
2427975,10812758,155000.0000
2427976,10616984,131000.0000
2427977,21306664,70200.0000
2427978,21306665,99500.0000
2427980,21306666,55500.0000
2427981,2112742,895000.0000
2427982,21306667,45700.0000
2427946,21178229,80000.0000
2427944,11610063,100000.0000
2427941,2134101,500000.0000
2427939,2124959,1500000.0000
2427938,2182710,10000.0000
2427935,4388825,20000.0000
2427932,10823070,50000.0000
2427931,4120825,19000.0000
2427930,2171639,16500.0000
2427929,33100284,35000.0000
2427928,2189133,140000.0000
2427926,21376598,40000.0000
2427923,21132654,140000.0000
2427920,21132925,110000.0000
2427917,11611751,80000.0000
2427821,71710843,40500.0000
2427819,5119627,111000.0000
2427818,RC1833419,11000.0000
2427815,11614799,30000.0000
2427811,11611426,50000.0000
2427804,21352299,60000.0000
2427803,511018956,60000.0000
2427802,nc1826133,187000.0000
2427801,11672787,20000.0000
2427794,21119491,30000.0000
2427792,21253197,162000.0000
2427790,4143984,150000.0000
2427778,RC1833419,150000.0000
2427776,DP1826134,30000.0000
2427774,33102406,30000.0000
2427764,2145105,130000.0000
2427761,11614948,7000.0000
2427759,21284528,45000.0000
2427758,11672231,22000.0000
2427754,DP1832709,50000.0000
2427748,2161859,72800.0000
2427743,DP1832719,50000.0000
2427740,33104893,10000.0000
2427739,11673180,20000.0000
2427725,21149970,30000.0000
2427723,10611715,52000.0000
2427717,11671694,230000.0000
2427716,11219527,20000.0000
2427715,11672145,60000.0000
2427712,10513436,10000.0000
2427711,2183918,60000.0000
2427709,11674225,25000.0000
2427707,RC1833411,11800.0000
2427703,11610236,373000.0000
2427702,11615296,60000.0000
2427701,11675050,22000.0000
2427700,10621482,77000.0000
2427696,10815348,20000.0000
2427686,21234516,60000.0000
2427682,18301465,26500.0000
2427672,69000272,50000.0000
2427671,16911805,3744124.0000
2427667,16911814,151387.0000
2427663,10513543,116000.0000
2427662,11611887,50000.0000
2427661,DP1833143,30000.0000
2427660,NC1833142,276500.0000
2427916,21263968,50000.0000
2427915,2135069,40000.0000
2427913,70400073,50000.0000
2427908,33102441,15000.0000
2427907,4270378,40000.0000
2427906,68502766,132500.0000
2427905,11614662,100000.0000
2427903,10824922,45000.0000
2427899,63500450,50000.0000
2427898,21234785,50000.0000
2427894,21136411,60000.0000
2427891,16916324,10000.0000
2427884,11222742,26500.0000
2427883,21151414,150000.0000
2427882,21103396,50000.0000
2427880,63501356,50000.0000
2427871,4145283,80000.0000
2427870,2172131,30000.0000
2427869,21197209,290000.0000
2427868,10828133,46000.0000
2427867,21348306,30000.0000
2427865,10710562,70000.0000
2427864,RC1833419,800.0000
2427863,4119051,30000.0000
2427860,21171327,500000.0000
2427855,2144254,75000.0000
2427849,21152582,20000.0000
2427848,33106502,10000.0000
2427846,MR1820043,101000.0000
2427844,11613517,100000.0000
2427842,4150313,100000.0000
2427841,4127899,197500.0000
2427840,21329218,50000.0000
2427834,70310481,20000.0000
2427583,4391191,129000.0000
2427579,11615428,150000.0000
2427576,10615831,105000.0000
2427568,21247827,10000.0000
2427565,69000106,208000.0000
2427563,4146035,6315.0000
2427560,2185638,220000.0000
2427559,70401452,12000.0000
2427658,DP1832967,30000.0000
2427657,NC1832966,268400.0000
2427653,63502144,20000.0000
2427651,10618219,20000.0000
2427649,10811380,50000.0000
2427646,2125649,50000.0000
2427641,10529433,50000.0000
2427634,11615144,318000.0000
2427632,11615677,28000.0000
2427630,10620693,68200.0000
2427629,11711539,150000.0000
2427628,10725559,90000.0000
2427623,10514583,190000.0000
2427620,4276568,95000.0000
2427617,4115351,50000.0000
2427616,21209494,50000.0000
2427615,2173872,182000.0000
2427613,21141375,1292572.0000
2427609,10810474,50000.0000
2427605,63502374,10000.0000
2427600,2126128,218000.0000
2427596,2141683,53000.0000
2427594,2144173,172000.0000
2427592,11674931,35000.0000
2427591,11610141,25000.0000
2427590,63501624,15000.0000
2427587,4115675,60000.0000
2427586,11670629,20000.0000
2427584,10834239,7000.0000
2427985,21306668,60400.0000
2427986,21118693,55700.0000
2427987,2152816,148400.0000
2427989,18302017,20000.0000
2427990,21358648,202000.0000
2427991,21326972,280000.0000
2427993,21421986,30000.0000
2428001,10611609,30000.0000
2428007,5114203,50000.0000
2428009,2191598,1094000.0000
2428014,11671996,20000.0000
2428018,11613919,50000.0000
2428028,21189859,45000.0000
2428033,21171658,10000.0000
2428034,2152419,50000.0000
2428037,71710846,30000.0000
2428043,11670343,5000.0000
2428046,11672498,60000.0000
2428050,21206960,34000.0000
2428055,10511706,10000.0000
2428057,4385883,141800.0000
2428060,11613734,69000.0000
2428065,21249089,100000.0000
2428067,11614495,203000.0000
2428077,11612071,100000.0000
2428085,10614790,25000.0000
2428086,5119989,100000.0000
2428095,11213868,250000.0000
2428100,68501037,40000.0000
2428106,21174590,27000.0000
2428118,71710035,104959.0000
2428121,11222948,30000.0000
2428123,11614273,100000.0000
2428138,18302855,50000.0000
2428140,11219333,70500.0000
2428145,2157985,65000.0000
2428148,2157985,35000.0000
2428152,2157985,63000.0000
2428155,10622447,24000.0000
2428156,2157985,79000.0000
2428161,2157985,29000.0000
2428164,11670615,70000.0000
2428165,2157985,74000.0000
2428167,11215490,35000.0000
2428170,10813552,30000.0000
2428174,10842801,22000.0000
2428175,11614579,50000.0000
2428176,5113714,52000.0000
2428178,21141104,55000.0000
2428179,2163183,40000.0000
2428180,21215461,10000.0000
2428186,10515191,20000.0000
2428194,69000326,100000.0000
2428201,10811215,10000.0000
2428202,10812847,50000.0000
2428203,10820460,50000.0000
2428207,10822634,150000.0000
2428208,69000436,84000.0000
2428209,69001093,35000.0000
2428210,10832245,60000.0000
2428211,11219422,40000.0000
2428212,10839760,100000.0000
2428213,10811423,10000.0000
2428214,10813798,100000.0000
2428215,10812841,10000.0000
2428216,11216248,5000.0000
2428217,11211162,5000.0000
2428218,10818874,195000.0000
2428219,10818874,109000.0000
2428228,21250973,270000.0000

